filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,centroid_to_gauss_dist
range233_exp20_59.dng,central,603.188260622484,384.121172239992,4.12463377288676,4.16855501085012,9.76447270349952,602.395032802249,382.970946579194,1.39722204590097
range233_exp20_6.dng,central,603.197500099467,384.141542773526,4.10467667611873,4.12135150065247,9.68539721992281,602.374979477918,382.997537350189,1.40900269037993
range233_exp20_60.dng,central,603.196595087353,384.0736627718,4.11926006184676,4.17169053559126,9.76183744345775,602.335872912952,382.956881180094,1.40998006548986
range233_exp20_7.dng,central,603.190770306377,384.131646603462,4.09808315307949,4.16668317911755,9.73100786151117,602.315158298689,383.005276622961,1.42667645981164
range233_exp20_8.dng,central,603.189402479987,384.046947433461,4.11811466916085,4.18193720244324,9.77255336292843,602.285714285714,383.005308880309,1.37900805939647
range233_exp20_9.dng,central,603.236595910567,384.09662220402,4.05667457422361,4.13957936784294,9.65034077666285,602.357591796229,382.934998346014,1.45671487275671
range233_exp20_1.dng,central,603.222671622725,384.088045782962,4.12178138359329,4.20424462819395,9.80313554180185,602.537419529715,383.181717151183,1.13622269813572
range233_exp20_10.dng,central,603.205931198118,384.133120262318,4.07371599747687,4.14286814049463,9.6742777263872,602.542269056529,383.162228350076,1.17604359759166
range233_exp20_11.dng,central,603.1961811703,384.121198824072,4.06984036661867,4.15835248867526,9.68794593126875,602.555551141743,383.209168371502,1.11454312608572
range233_exp20_12.dng,central,603.151406159597,384.137150662979,4.09621108944912,4.17320969866957,9.73648805845129,602.552303026992,383.25725330565,1.06449233108245
range233_exp20_13.dng,central,603.202070763563,384.082678406087,4.11249637032044,4.18651504158497,9.77132831661732,602.653711520293,383.203115760282,1.03649809820203
range233_exp20_14.dng,central,603.115913187485,384.147539331095,4.1423486117391,4.14597317414496,9.75874225783848,602.476936241884,383.27319958708,1.08294114566479
range233_exp20_15.dng,central,603.190275314361,384.083325160911,4.10549104449138,4.15328696816035,9.72395716192325,602.59038837281,383.219922531108,1.05134601525584
range233_exp20_16.dng,central,603.256565634071,384.086648721668,4.08765230266263,4.15136553351459,9.70069135804089,602.492935120916,383.073326149089,1.26883970489513
range233_exp20_17.dng,central,603.172791407676,384.129997859954,4.11763591562933,4.1441131348169,9.72745528769875,602.48954313625,383.190510564806,1.16166457213427
range233_exp20_18.dng,central,603.193830811068,384.122873004605,4.0646036599615,4.1522398194942,9.67458307730943,602.571725696458,383.222553313468,1.09434469883698
range233_exp20_19.dng,central,603.220935575816,384.073202268464,4.0871002154088,4.15576095713196,9.70521653574887,602.606937998823,383.196353032979,1.0704473860613
range233_exp20_2.dng,central,603.231990255594,384.106450280274,4.1058064734712,4.15430232977279,9.7255240463571,602.527332799359,383.275777599786,1.08929299673493
range233_exp20_20.dng,central,603.216736297639,384.073379145953,4.12518586902713,4.16312288780834,9.75872691732321,602.65460290303,383.15750041393,1.07462914770901
range233_exp20_21.dng,central,603.218375725613,384.167334838363,4.1156823787511,4.09451549801332,9.66675848682084,602.61706318528,383.227881118364,1.11541474940111
range233_exp20_22.dng,central,603.239679842298,384.135693908049,4.10335631941786,4.17260619841167,9.74419034798804,602.568586430109,383.209899268457,1.14344308235272
range233_exp20_23.dng,central,603.240579421439,384.107369495175,4.08948194148322,4.14088013194394,9.69049998759162,602.553240017921,383.18802014744,1.14788443617402
range233_exp20_24.dng,central,603.241048512609,384.061876603523,4.09183653461966,4.20005943747892,9.76295053581683,602.62058312546,383.225976326161,1.04101228155289
range233_exp20_25.dng,central,603.195689361751,384.071895476583,4.13626774736873,4.19590223433742,9.81036950549528,602.487424289087,383.155979878863,1.15781725470941
range233_exp20_26.dng,central,603.173946333724,384.123199474356,4.09793547142113,4.22042642271855,9.79411174293298,602.492556375973,383.274662409366,1.08825889621273
range233_exp20_27.dng,central,603.173016058411,384.111008792417,4.02897258730082,4.20696070346178,9.69705958740487,602.549207408871,383.273806685423,1.0440520098145
range233_exp20_28.dng,central,603.228350887331,384.117057965722,4.06615381925796,4.15706987941628,9.68209520298586,602.525139435415,383.256239520958,1.11153710732066
range233_exp20_29.dng,central,603.214442119343,384.093074539633,4.08415231792926,4.18561739103245,9.7368988808908,602.543848485471,383.182509869929,1.13085093602237
range233_exp20_3.dng,central,603.15633886611,384.177539998811,4.12416299647645,4.16420939213284,9.7588018379279,602.463229561524,383.21765196118,1.18397025000297
range233_exp20_30.dng,central,603.185139576661,384.138288850519,4.10721132892356,4.11241327826275,9.67785760132168,602.511749988069,383.214806280295,1.14292326756028
range233_exp20_31.dng,central,603.188322930006,384.108831254398,4.06166569119701,4.16921722704227,9.6911132348097,602.524039799149,383.138826693517,1.17566190976334
range233_exp20_32.dng,central,603.223382436167,384.128367486543,4.07243981034988,4.15539065087422,9.68751924533466,602.504227293924,383.203856265248,1.1712835339556
range233_exp20_33.dng,central,603.235286311985,384.111904248044,4.07844793855007,4.18788619380685,9.73285380307416,602.616062629646,383.173299702978,1.12446274317495
range233_exp20_34.dng,central,603.208003766055,384.084348812979,4.08537941706606,4.17422769436048,9.72493335004174,602.608203784771,383.209679087243,1.06056925595009
